Data Extraída,Valor Total,Objeto,Data de Celebração,Objetivo
29/04/2022,200000.0,REFERENTE AOS SERVIÇOS DE CONTRATAÇÃO DE ATRAÇÃO MUNICAL DA BANDA JONAS ESTICADO NO EVENTO FEIRA DO AGRONEGÍCIO NO MUNICIPIO DE CALDEIRÃO GRANDE DO PIAUÍ-PI. DIA 29/04/2022. (COTA EXTRA),2022-06-02,REFERENTE AOS SERVIÇOS DE CONTRATAÇÃO DE ATRAÇÃO MUNICAL DA BANDA JONAS ESTICADO NO EVENTO FEIRA DO AGRONEGÍCIO NO MUNICIPIO DE CALDEIRÃO GRANDE DO PIAUÍ-PI. DIA 29/04/2022. (COTA EXTRA)
26 de NOVEMBRO de 2023,217315.0,"PROJETO 2° EDIÇÃO DA SEMANA DA CONSCIENCIA NEGRA MIMBÓ, NO MUNICIPIO DE AMARANTE(PI)",,"PATROCÍNIO PARA REALIZAÇÃO DO PROJETO 2° EDIÇÃO DA SEMANA DA CONSCIENCIA NEGRA MIMBÓ, QUE ACONTECERÁ NO PERÍODO DE 20 A 26 DE NOVEMBRO DE 2023, NO MUNICIPIO DE AMARANTE(PI)."
27/12/2023,220000.0,"Apoio a realização do evento intitulado ¿ANIVERSÁRIO DO MUNICÍPIO DE COCAL DOS ALVES/PI¿, que acontecerá no dia 27/12/2023.",,"Apoio a realização do evento intitulado ¿ANIVERSÁRIO DO MUNICÍPIO DE COCAL DOS ALVES/PI¿, que acontecerá no dia 27/12/2023."
25 de MAIO de 2024,220000.0,FESTA DO VAQUEIRO DE BELA VISTA/PI,2024-05-03,"PATROCÍNIO DO EVENTO ""FESTA DO VAQUEIRO"" NO MUNICÍPIO DE BELA VISTA DO PIAUÍ, QUE SERÁ REALIZADO NO DIA 25 DE MAIO DE 2024."
11 de MAIO de 2024,220000.0,PPR SERIES SHORTTRACK TERESINA,2024-05-10,"PATROCÍNIO DO EVENTO ""PPR SERIES SHORTTRACK TERESINA"", UM EVENTO DE RENOME NACIONAL E INTERNACIONAL QUE CELEBRA A PAIXÃO PELO CICLISMO E PROMOVE O TURISMO EM TERESINA/PI. SERÁ REALIZADO EM 11 DE MAIO DE 2024, NO COMPLEXO TURÍSTICO PONTE ESTAIADA."
30 de MARÇO de 2024,225000.0,"PAIXÃO DE CRISTO 2024 DE FLORIANO, NO MUNICÍPIO DE FLORIANO(PI)",2024-03-26,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: PAIXÃO DE CRISTO 2024 DE FLORIANO, A SER REALIZADO NOS DIAS 29 E 30 DE MARÇO DE 2024, NO TEATRO CIDADE CENOGRÁFICA, NO MUNICÍPIO DE FLORIANO(PI)."
12 de JULHO de 2024,230000.0,"ARRAIÁ JUNINO DO BAIRRO SATURNO, NO MUNICÍPIO DE TERESINA(PI).",2024-07-09,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS), PARA APRESENTAÇÃO ARTÍSTICA NO EVENTO: ARRAIÁ JUNINO DO BAIRRO SATURNO, A SER REALIZADO NO DIA 12 DE JULHO DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
26 de MAIO de 2024,230000.0,"FESTEJO DE SÃO GONÇALO DO GURGUEIA,¿ A SER REALIZADO NO DIA 26 DE MAIO DE 2024, NO MUNICÍPIO DE SÃO GONÇALO-PI.",2024-05-24,"FESTEJO DE SÃO GONÇALO DO GURGUEIA,¿ A SER REALIZADO NO DIA 26 DE MAIO DE 2024, NO MUNICÍPIO DE SÃO GONÇALO-PI."
28 de ABRIL de 2024,230000.0,"PATROCÍNIO REFERENTE AO PROJETO ANIVERSÁRIO DE COLÔNIA DO PIAUI"", NO MUNICÍPIO DE COLÔNIA DO PIAUÍ(PI)",2024-04-15,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: ANIVERSÁRIO DE COLÔNIA DO PIAUI"", NO DIA 28 DE ABRIL DE 2024, NO MUNICÍPIO DE COLÔNIA DO PIAUÍ(PI)."
25/03/2022,230000.0,"REFERENTE A PATROCÍNIO DO EVENTO I GRANDE CAVALGADA DA MULHER NO MUNICIPIO DE ALVORADA DO GURGUÉIA-PI, DIA 25/03/2022, EMENDAS DOS DEPUTADOS ESTADUAIS FIRMINO PAULO E FABIO XAVIER.",2022-03-24,"REFERENTE A PATROCÍNIO DO EVENTO I GRANDE CAVALGADA DA MULHER NO MUNICIPIO DE ALVORADA DO GURGUÉIA-PI, DIA 25/03/2022, EMENDAS DOS DEPUTADOS ESTADUAIS FIRMINO PAULO E FABIO XAVIER."
30 de MARÇO de 2024,235000.0,"REALIZAÇÃO DE UM EVENTO NA CIDADE DE JUAZEIRO DO PIAUI- ""SÁBADO DE ALELUIA"" - REALIZADO NO DIA 30 DE MARÇO DE 2024.",2024-03-26,"REALIZAÇÃO DE UM EVENTO NA CIDADE DE JUAZEIRO DO PIAUI- ""SÁBADO DE ALELUIA"" - REALIZADO NO DIA 30 DE MARÇO DE 2024."
29 de JULHO de 2023,240000.0,PATROCÍNIO AO PROJETO FESTIVAL DA CULTURA DE ALTO LONGÁ(PI),2023-07-25,"PATROCÍNIO PARA REALIZAÇÃO DO PROJETO FESTIVAL DA CULTURA DE ALTO LONGÁ, A SER REALIZADO NO PERÍODO DE 27 A 29 DE JULHO DE 2023, NA PRAÇA CENTRAL, NO MUNICÍPIO DE ALTO LONGÁ(PI)."
13 de abril de 2024,250000.0,"Com vistas a Contratação de Empresapara  patrocínio referente ao Projeto EMPREENDE PIAUI CAJUÍNA NOSSA, que será realizado na data de 13 de abril de 2024, em TV Aberta.",2024-04-23,"Referente ao patrocínio relativo ao Projeto EMPREENDE PIAUI CAJUÍNA NOSSA, que será realizado na data de 13 de abril de 2024, em TV Aberta."
